ax,ay,az,gx,gy,gz,motion,gyro,label
-0.079,0.152,-0.984,0.000,0.122,-0.366,0.999,0.386,0
-0.078,0.154,-0.984,-0.122,0.183,-0.488,0.999,0.536,0
-0.080,0.151,-0.985,0.000,0.183,-0.366,0.999,0.409,0
-0.078,0.153,-0.983,-0.061,0.122,-0.366,0.998,0.391,0
-0.079,0.153,-0.984,-0.122,0.183,-0.427,0.999,0.481,0
-0.079,0.153,-0.984,0.000,0.122,-0.366,0.999,0.386,0
-0.079,0.153,-0.984,-0.061,0.183,-0.366,0.999,0.414,0
-0.078,0.153,-0.984,0.000,0.122,-0.366,0.999,0.386,0
-0.078,0.152,-0.984,0.000,0.122,-0.366,0.999,0.386,0
-0.079,0.152,-0.984,-0.122,0.183,-0.427,0.999,0.481,0
-0.078,0.152,-0.984,0.000,0.122,-0.366,0.999,0.386,0
-0.080,0.153,-0.985,0.000,0.122,-0.305,1.000,0.329,0
-0.079,0.152,-0.985,-0.061,0.122,-0.366,0.999,0.391,0
-0.079,0.152,-0.984,-0.061,0.122,-0.427,0.999,0.449,0
-0.079,0.153,-0.983,-0.061,0.183,-0.427,0.998,0.469,0
-0.080,0.153,-0.984,0.000,0.183,-0.427,0.999,0.465,0
-0.080,0.153,-0.984,0.000,0.122,-0.366,0.999,0.386,0
-0.079,0.153,-0.984,-0.061,0.183,-0.427,0.999,0.469,0
-0.079,0.152,-0.984,0.061,0.122,-0.366,0.999,0.391,0
-0.078,0.152,-0.985,-0.061,0.122,-0.366,0.999,0.391,0
-0.079,0.153,-0.985,0.000,0.244,-0.427,1.000,0.492,0
-0.078,0.153,-0.985,-0.061,0.183,-0.366,1.000,0.414,0
-0.079,0.153,-0.983,0.000,0.122,-0.366,0.998,0.386,0
-0.079,0.152,-0.985,-0.122,0.061,-0.366,1.000,0.391,0
-0.080,0.152,-0.985,-0.061,0.183,-0.427,1.000,0.469,0
-0.078,0.153,-0.985,-0.061,0.183,-0.366,1.000,0.414,0
-0.080,0.152,-0.985,0.000,0.244,-0.305,1.000,0.391,0
-0.078,0.153,-0.984,0.000,0.244,-0.427,0.999,0.492,0
-0.079,0.152,-0.984,-0.061,0.183,-0.427,0.999,0.469,0
-0.078,0.152,-0.985,-0.061,0.183,-0.366,1.000,0.414,0
-0.079,0.153,-0.985,0.000,0.183,-0.366,1.000,0.409,0
-0.079,0.152,-0.986,-0.061,0.183,-0.305,1.000,0.361,0
-0.079,0.152,-0.985,-0.061,0.122,-0.427,1.000,0.449,0
-0.080,0.151,-0.984,-0.122,0.122,-0.427,0.999,0.461,0
-0.078,0.152,-0.984,-0.061,0.183,-0.427,0.999,0.469,0
-0.079,0.152,-0.985,-0.061,0.183,-0.366,1.000,0.414,0
-0.079,0.152,-0.985,-0.061,0.122,-0.366,0.999,0.391,0
-0.079,0.153,-0.984,-0.061,0.183,-0.427,0.999,0.469,0
-0.078,0.152,-0.985,-0.061,0.183,-0.366,1.000,0.414,0
-0.079,0.152,-0.984,-0.122,0.061,-0.305,0.999,0.334,0
-0.078,0.153,-0.985,-0.122,0.183,-0.427,1.000,0.481,0
-0.078,0.153,-0.985,0.000,0.122,-0.366,1.000,0.386,0
-0.079,0.153,-0.984,-0.061,0.122,-0.366,0.999,0.391,0
-0.079,0.152,-0.983,-0.061,0.122,-0.427,0.998,0.449,0
-0.079,0.152,-0.984,-0.061,0.122,-0.366,0.999,0.391,0
-0.079,0.153,-0.984,-0.061,0.122,-0.427,0.999,0.449,0
-0.079,0.153,-0.985,-0.061,0.122,-0.305,1.000,0.334,0
-0.080,0.152,-0.984,-0.061,0.183,-0.366,0.999,0.414,0
-0.079,0.153,-0.984,-0.061,0.244,-0.427,0.999,0.496,0
-0.079,0.151,-0.984,-0.122,0.183,-0.305,0.999,0.376,0
-0.078,0.152,-0.985,-0.122,0.122,-0.427,0.999,0.461,0
