ax,ay,az,gx,gy,gz,motion,gyro,label
0.026,-0.313,-1.170,-33.569,48.340,142.090,1.212,153.796,1
-0.564,-1.390,0.205,26.794,-40.405,-97.961,1.514,109.302,1
0.084,-0.245,-0.762,11.230,-50.049,-31.799,0.805,60.351,1
-0.207,-0.763,-0.724,-32.471,89.111,112.366,1.072,147.042,1
-0.485,-1.096,-0.037,38.513,-54.321,-103.699,1.199,123.238,1
0.158,-0.124,-0.986,-24.475,7.019,12.024,1.006,28.158,1
-0.358,-1.069,-0.501,-26.245,79.712,110.779,1.233,138.977,1
-0.172,-0.614,-0.546,44.678,-85.693,-138.611,0.839,168.975,1
0.025,-0.467,-0.868,-4.272,43.945,98.816,0.986,108.231,1
-0.611,-1.634,-0.045,50.110,-64.026,-122.742,1.745,147.227,1
0.241,-0.026,-0.927,-24.048,-13.306,-1.160,0.958,27.508,1
-0.376,-1.214,-0.510,-21.240,65.125,94.299,1.369,116.553,1
-0.033,-0.526,-0.770,10.071,-58.167,-112.183,0.934,126.766,1
-0.004,-0.377,-1.391,-83.435,72.510,93.506,1.442,144.784,1
-0.636,-1.681,-0.267,-7.202,193.054,61.768,1.817,202.823,1
-0.348,-1.146,0.459,104.248,-186.157,-159.058,1.283,266.123,1
0.098,0.039,-1.262,19.714,-76.294,-80.139,1.266,112.391,1
-0.178,-0.621,-0.658,-85.815,174.316,196.106,0.921,276.058,1
-0.474,-1.589,0.071,35.889,-62.622,-83.923,1.660,110.692,1
0.192,-0.222,-0.701,-3.113,-12.329,19.531,0.760,23.306,1
-0.289,-1.319,-0.488,-16.541,35.156,105.835,1.435,112.741,1
-0.291,-1.038,-0.471,29.602,-51.758,-119.263,1.177,133.337,1
0.173,-0.182,-0.794,-18.005,21.484,48.279,0.833,55.827,1
-0.019,-0.503,-0.687,-50.659,44.312,52.124,0.851,85.128,1
-0.032,-0.505,-0.660,-41.260,58.228,64.331,0.831,96.080,1
-0.221,-1.213,-0.346,-24.780,21.484,71.899,1.280,79.026,1
-0.348,-1.232,-0.367,83.618,-67.993,-111.206,1.332,154.861,1
0.063,-0.243,-0.804,-11.292,-0.366,-8.911,0.842,14.389,1
-0.022,-0.499,-0.792,-83.435,96.436,169.189,0.936,211.864,1
-0.513,-1.522,-0.097,54.321,-44.189,-124.207,1.609,142.586,1
0.039,-0.326,-0.872,0.000,-34.668,-37.537,0.932,51.097,1
-0.255,-1.072,-0.465,-23.987,39.001,50.598,1.196,68.240,1
-0.422,-0.855,-0.355,11.841,-57.251,-133.545,1.017,145.781,1
0.018,-0.431,-0.670,-10.010,28.320,84.595,0.797,89.769,1
-0.611,-1.815,-0.211,26.062,-0.793,16.174,1.927,30.683,1
-0.142,-0.558,-0.510,-0.061,-19.836,-73.608,0.769,76.234,1
-0.143,-0.655,-0.506,-38.574,84.656,131.958,0.840,161.454,1
-0.625,-1.250,-0.296,3.174,-100.220,-118.408,1.428,155.160,1
0.042,0.156,-0.881,15.137,-48.035,-47.852,0.896,69.471,1
-0.391,-1.006,-0.512,-2.380,24.780,121.582,1.195,124.104,1
-0.371,-1.121,-0.488,25.574,-55.359,-66.895,1.277,90.518,1
-0.051,-0.438,-0.687,-2.625,-25.452,-53.589,0.816,59.384,1
-0.068,-0.428,-0.779,-22.949,50.232,72.021,0.892,90.758,1
-0.538,-1.509,-0.281,-4.395,13.916,17.700,1.627,22.940,1
-0.098,-0.484,-0.408,-10.193,-28.198,-65.979,0.641,72.473,1
-0.149,-0.662,-0.501,-4.700,28.564,69.458,0.844,75.249,1
-0.449,-1.244,-0.493,13.977,-8.972,-37.537,1.411,41.047,1
-0.277,-0.785,-0.498,20.935,-23.010,-43.579,0.970,53.543,1
0.027,-0.256,-0.766,-23.437,-13.855,-57.861,0.809,63.947,1
-0.049,-0.447,-0.847,-21.606,49.377,120.789,0.959,132.268,1
-0.615,-1.544,-0.292,17.578,-13.245,-42.786,1.688,48.115,1
0.113,-0.209,-0.537,-19.836,5.066,-2.136,0.588,20.584,1
-0.147,-0.716,-0.639,1.404,14.709,77.026,0.970,78.431,1
-0.488,-1.202,-0.443,22.156,-26.001,-77.881,1.371,85.043,1
0.169,-0.255,-0.594,-13.611,1.221,8.240,0.668,15.957,1
-0.227,-0.851,-0.576,-25.208,32.715,125.061,1.052,131.704,1
-0.428,-1.312,-0.111,30.334,-5.127,-56.152,1.385,64.028,1
-0.062,-0.294,-0.645,17.578,-57.007,-101.990,0.711,118.155,1
-0.011,-0.245,-1.332,-60.425,10.742,37.170,1.354,71.751,1
-0.299,-1.007,-0.811,-7.935,110.840,110.535,1.327,156.737,1
-0.506,-1.280,0.249,20.081,-68.604,-106.689,1.399,128.422,1
-0.028,-0.258,-1.062,-6.104,-51.880,-79.834,1.094,95.406,1
-0.219,-0.659,-0.741,-2.625,86.365,109.009,1.016,139.100,1
-0.475,-1.323,-0.102,25.269,-24.536,-22.034,1.410,41.545,1
-0.123,-0.450,-0.685,19.043,-58.594,-109.619,0.828,125.747,1
0.068,-0.228,-1.263,-29.541,22.522,52.368,1.285,64.205,1
-0.423,-1.223,-0.460,-19.165,93.750,165.527,1.374,191.195,1
-0.394,-1.082,-0.202,29.663,-56.763,-95.154,1.169,114.700,1
0.109,-0.240,-0.758,-8.362,-27.710,4.456,0.803,29.285,1
0.268,0.078,-0.704,-33.020,21.423,70.312,0.758,80.580,1
-0.402,-1.005,-0.270,-15.076,61.951,170.837,1.115,182.347,1
-0.565,-1.469,-0.374,16.968,-90.027,-151.123,1.618,176.723,1
0.207,-0.080,-0.816,-13.245,12.329,67.139,0.846,69.534,1
-0.380,-1.351,-0.337,10.376,10.376,65.918,1.444,67.531,1
-0.558,-1.143,-0.551,23.132,-82.397,-188.416,1.386,206.942,1
0.328,0.278,-0.807,-17.029,-5.371,14.282,0.914,22.865,1
-0.313,-0.997,-0.769,-2.808,18.616,186.218,1.297,187.167,1
-0.340,-0.975,-0.482,2.380,-55.847,-186.645,1.140,194.836,1
0.213,-0.273,-0.596,-20.386,12.634,98.511,0.689,101.388,1
-0.483,-1.575,-0.462,-3.845,7.751,41.016,1.711,41.918,1
0.022,-0.542,-0.746,17.334,-26.794,-96.863,0.922,101.984,1
0.152,-0.343,-0.855,-16.296,16.113,46.326,0.934,51.684,1
-0.005,-0.576,-1.000,-21.362,50.964,142.883,1.154,153.197,1
-0.477,-1.587,-0.218,10.803,46.997,3.052,1.671,48.319,1
-0.300,-0.949,-0.265,19.653,-61.096,-110.474,1.030,127.763,1
0.107,0.033,-1.109,-15.259,-19.836,-36.438,1.115,44.205,1
-0.259,-0.795,-0.756,-17.029,58.472,105.957,1.127,122.212,1
-0.437,-1.292,-0.102,36.743,0.244,-58.228,1.368,68.852,1
-0.280,-0.986,-0.041,51.819,-72.449,-88.501,1.026,125.564,1
-0.097,-0.037,-1.179,-3.235,-91.980,-53.528,1.183,106.471,1
-0.042,-0.151,-1.148,-39.917,62.683,63.293,1.159,97.615,1
-0.248,-0.763,-0.708,-25.757,75.439,106.140,1.070,132.741,1
-0.455,-1.300,-0.121,21.118,13.550,-52.307,1.382,58.014,1
-0.287,-0.562,-0.923,3.296,-73.181,-112.183,1.118,133.982,1
-0.077,-0.214,-1.239,-38.818,46.570,78.552,1.260,99.227,1
-0.526,-1.169,-0.312,21.606,115.234,36.499,1.319,122.792,1
-0.277,-0.763,-0.320,28.992,-103.943,-67.566,0.872,127.318,1
-0.362,-0.953,0.471,9.277,40.955,17.273,1.123,45.406,1
-0.372,-0.812,-0.391,47.791,-157.593,-119.263,0.975,203.330,1
-0.189,-0.334,-1.240,4.089,-29.480,-42.969,1.298,52.270,1
-0.209,-0.513,-1.110,-55.908,79.712,88.196,1.241,131.371,1
-0.211,-0.848,-0.835,-58.289,106.628,75.500,1.208,143.065,1
-0.475,-1.295,-0.555,5.554,177.429,65.430,1.487,189.190,1
-0.299,-0.825,-0.265,25.269,-78.491,-70.251,0.917,108.327,1
-0.237,-0.403,-1.412,18.372,-63.477,-6.287,1.487,66.380,1
-0.262,-0.346,-1.446,-14.954,18.066,-11.963,1.510,26.327,1
-0.319,-0.493,-1.183,-9.644,-11.963,21.484,1.321,26.414,1
-0.339,-0.586,-1.565,-35.339,28.687,12.756,1.706,47.271,1
-0.272,-0.709,-0.958,-41.748,172.424,85.205,1.223,196.807,1
-0.311,-0.989,0.373,-30.457,22.949,20.508,1.102,43.299,1
-0.178,-0.808,0.330,-3.357,6.042,14.099,0.891,15.702,1
-0.310,-0.675,-0.452,22.400,-151.306,25.208,0.870,155.018,1
-0.397,-0.803,-1.244,-4.761,-37.415,-18.616,1.533,42.060,1
-0.251,-0.607,-1.054,-33.325,67.749,5.310,1.242,75.688,1
-0.291,-0.544,-0.367,72.266,230.347,-54.932,0.718,247.587,1
-0.547,-0.915,-0.583,80.139,-154.236,28.015,1.215,176.056,1
-0.238,-1.287,-0.939,115.906,28.076,60.852,1.611,133.886,1
-0.173,-0.870,-0.789,44.312,-86.975,60.425,1.187,114.801,1
0.082,-0.488,-0.813,1.404,9.827,37.354,0.952,38.650,1
0.024,-0.592,-0.597,-0.183,-120.178,5.188,0.842,120.290,1
0.153,0.070,-0.828,-24.536,101.746,126.587,0.845,164.251,1
0.037,-0.779,-0.600,-25.696,17.822,32.776,0.984,45.301,1
0.068,-0.491,-0.219,48.401,-81.970,6.104,0.542,95.389,1
0.088,-0.505,-0.453,63.293,-77.148,-27.893,0.685,103.615,1
0.095,-0.396,-0.821,-40.894,61.279,8.118,0.917,74.117,1
0.156,-0.423,-0.486,5.310,14.160,49.927,0.663,52.167,1
0.036,-0.812,-0.413,35.645,-75.439,33.264,0.912,89.823,1
-0.018,-0.740,-0.874,30.334,-20.020,-65.613,1.145,75.007,1
0.083,-0.411,-0.953,1.160,11.047,-58.716,1.041,59.757,1
0.393,0.307,-0.837,0.732,7.751,-70.984,0.974,71.410,1
0.135,-0.244,-0.970,8.179,-11.292,98.755,1.009,99.734,1
-0.170,-1.143,-0.937,-6.165,3.967,-104.004,1.488,104.262,1
0.366,0.179,-0.879,-30.640,14.404,6.775,0.969,34.528,1
0.012,-0.776,-0.925,-7.690,10.437,84.839,1.207,85.824,1
-0.048,-0.998,-0.421,19.836,-50.842,-35.156,1.084,64.918,1
-0.071,-0.616,-0.604,91.370,-58.105,-97.839,0.865,145.936,1
0.023,0.137,-1.410,-80.139,82.947,54.016,1.417,127.359,1
-0.041,-0.196,-1.097,-12.329,133.118,44.067,1.115,140.763,1
-0.001,-0.466,-0.538,7.202,64.026,35.278,0.712,73.456,1
-0.052,-0.629,-0.386,-15.320,-2.258,20.081,0.740,25.358,1
